Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Rating
25,Paris,12/22/2023,12/28/2023,6.0,Lily Nguyen,24.0,Female,Vietnamese,Hotel,"$1,400 ",Train,$100 ,1
26,Hawaii,8/1/2023,8/10/2023,9.0,David Kim,34.0,Male,Korean,Resort,"$2,000 ",Plane,$800 ,4
27,Barcelona,10/20/2023,10/28/2023,8.0,Maria Garcia,31.0,Female,Spanish,Hotel,"$1,100 ",Train,$150 ,2
28,Japan,5/10/2022,5/18/2022,8.0,Alice Smith,30.0,Female,American,Hotel,$800 ,Plane,$500 ,5
29,Thailand,6/15/2022,6/22/2022,7.0,Bob Johnson,45.0,Male,Canadian,Hostel,$200 ,Train,$150 ,3
30,France,7/2/2022,7/11/2022,9.0,Charlie Lee,25.0,Male,Korean,Airbnb,$600 ,Car rental,$300 ,5
31,Australia,8/20/2022,9/2/2022,13.0,Emma Davis,28.0,Female,British,Hotel,"$1,000 ",Car rental,$500 ,3
32,Brazil,9/5/2022,9/14/2022,9.0,Olivia Martin,33.0,Female,Australian,Hostel,$150 ,Bus,$50 ,5
33,Greece,10/12/2022,10/20/2022,8.0,Harry Wilson,20.0,Male,American,Airbnb,$400 ,Plane,$600 ,4
34,Egypt,11/8/2022,11/15/2022,7.0,Sophia Lee,37.0,Female,Canadian,Hotel,$700 ,Train,$100 ,5
35,Mexico,1/5/2023,1/15/2023,10.0,James Brown,42.0,Male,British,Airbnb,$500 ,Plane,$800 ,5
36,Italy,2/14/2023,2/20/2023,6.0,Mia Johnson,31.0,Female,American,Hostel,$180 ,Train,$120 ,5
37,Spain,3/23/2023,3/31/2023,8.0,William Davis,27.0,Male,Korean,Hotel,$900 ,Car rental,$400 ,5
38,Canada,4/19/2023,4/26/2023,7.0,Amelia Brown,38.0,Female,Australian,Airbnb,$350 ,Bus,$75 ,5
39,"Paris, France",6/12/2022,6/19/2022,7.0,Mia Johnson,25.0,Female,American,Hotel,1400,Plane,600,5
40,"Sydney, Australia",1/2/2023,1/9/2023,7.0,Adam Lee,33.0,Male,Canadian,Airbnb,800,Train,150,2
41,"Tokyo, Japan",12/10/2022,12/18/2022,8.0,Sarah Wong,28.0,Female,Chinese,Hostel,500,Plane,900,5
42,"Cancun, Mexico",7/1/2023,7/8/2023,7.0,John Smith,45.0,Male,American,Resort,2200,Plane,800,3
43,"Rio de Janeiro, Brazil",11/20/2022,11/27/2022,7.0,Maria Silva,30.0,Female,Brazilian,Hotel,1200,Plane,700,5
44,"London, UK",3/5/2023,3/12/2023,7.0,Peter Brown,55.0,Male,British,Airbnb,900,Train,100,4
45,"Barcelona, Spain",8/18/2023,8/25/2023,7.0,Emma Garcia,27.0,Female,Spanish,Hostel,600,Plane,600,4
46,"New York City, USA",9/15/2022,9/22/2022,7.0,Michael Davis,41.0,Male,American,Hotel,1500,Plane,500,5
47,"Bangkok, Thailand",5/1/2023,5/7/2023,6.0,Nina Patel,29.0,Female,Indian,Airbnb,500,Bus,50,3
48,"Vancouver, Canada",7/10/2022,7/17/2022,7.0,Kevin Kim,24.0,Male,Korean,Hostel,400,Train,150,5
49,"Amsterdam, Netherlands",6/20/2023,6/28/2023,8.0,Laura van den Berg,31.0,Female,Dutch,Hotel,1100,Plane,700,4
50,"Paris, France",8/15/2023,8/22/2023,7.0,Jennifer Nguyen,31.0,Female,Canadian,Hotel,"$1,200 ",Train,$300 ,2
51,"Tokyo, Japan",10/10/2023,10/20/2023,10.0,David Kim,25.0,Male,American,Hostel,$500 ,Bus,$100 ,4
52,"Sydney, AUS",11/5/2023,11/12/2023,7.0,Rachel Lee,27.0,Female,South Korean,Airbnb,$900 ,Car rental,$200 ,3
53,"New York, USA",12/24/2023,12/31/2023,7.0,Jessica Wong,28.0,Female,Canadian,Hotel,"$1,400 ",Flight,$800 ,2
54,"Rio de Janeiro, Brazil",1/15/2024,1/24/2024,9.0,Felipe Almeida,30.0,Male,Brazilian,Airbnb,$800 ,Train,$150 ,4
55,"Bangkok, Thailand",2/1/2024,2/9/2024,8.0,Nisa Patel,23.0,Female,Indian,Hostel,$400 ,Bus,$50 ,3
56,"London, UK",3/15/2024,3/23/2024,8.0,Ben Smith,35.0,Male,British,Hotel,"$1,000 ",Train,$200 ,4
57,"Barcelona, Spain",4/5/2024,4/13/2024,8.0,Laura Gomez,29.0,Female,Spanish,Airbnb,$700 ,Car rental,$250 ,3
58,"Seoul, South Korea",5/10/2024,5/18/2024,8.0,Park Min Woo,27.0,Male,South Korean,Hostel,$500 ,Subway,$20 ,4
59,"Los Angeles, USA",6/20/2024,6/27/2024,7.0,Michael Chen,26.0,Male,Chinese,Hotel,"$1,200 ",Car rental,$300 ,4
60,"Rome, Italy",7/15/2024,7/23/2024,8.0,Sofia Rossi,33.0,Female,Italian,Airbnb,$800 ,Train,$100 ,5
61,Paris,7/12/2022,7/18/2022,6.0,Rachel Sanders,35.0,Female,American,Hotel,1200,Plane,800,5
62,Tokyo,9/3/2022,9/10/2022,7.0,Kenji Nakamura,28.0,Male,Japanese,Hostel,400,Train,300,5
63,Cape Town,1/7/2023,1/16/2023,9.0,Emily Watson,29.0,Female,British,Vacation rental,800,Car rental,200,4
64,Sydney,6/23/2023,6/29/2023,6.0,David Lee,43.0,Male,Australian,Hotel,1500,Plane,1200,4
65,Barcelona,8/18/2023,8/25/2023,7.0,Ana Rodriguez,31.0,Female,Spanish,Vacation rental,900,Plane,700,3
66,Bali,2/1/2024,2/8/2024,7.0,Tom Wilson,27.0,Male,American,Resort,2200,Plane,1000,5
67,Paris,5/6/2024,5/12/2024,6.0,Olivia Green,39.0,Female,French,Hotel,1100,Train,200,3
68,New York,7/20/2024,7/26/2024,6.0,James Chen,25.0,Male,American,Vacation rental,1000,Plane,800,5
69,Bangkok,9/8/2024,9/16/2024,8.0,Lila Patel,33.0,Female,Indian,Hostel,300,Plane,700,3
70,Rome,2/14/2025,2/20/2025,6.0,Marco Rossi,41.0,Male,Italian,Hotel,1300,Train,100,2
71,Bali,5/21/2025,5/29/2025,8.0,Sarah Brown,37.0,Female,British,Resort,1800,Plane,1000,3
73,"Bali, Indonesia",8/5/2022,8/12/2022,7.0,Sarah Lee,35.0,Female,South Korean,Resort,500 USD,Plane,800 USD,4
74,"Tokyo, Japan",1/1/2023,1/9/2023,8.0,Alex Kim,29.0,Male,American,Hotel,1000 USD,Train,200 USD,4
75,"Cancun, Mexico",4/15/2023,4/22/2023,7.0,Maria Hernandez,42.0,Female,Mexican,Resort,800 USD,Plane,500 USD,3
76,"Paris, France",6/7/2023,6/14/2023,7.0,John Smith,46.0,Male,British,Hotel,1200 USD,Plane,700 USD,4
77,"Cape Town, SA",9/1/2023,9/10/2023,9.0,Mark Johnson,31.0,Male,South African,Guesthouse,400 USD,Car,300 USD,5
78,"Bali, Indonesia",11/12/2023,11/19/2023,7.0,Amanda Chen,25.0,Female,Taiwanese,Resort,600 USD,Plane,700 USD,2
79,"Sydney, Aus",2/5/2024,2/12/2024,7.0,David Lee,38.0,Male,Australian,Hotel,900 USD,Plane,600 USD,5
80,"Bangkok, Thai",5/15/2024,5/22/2024,7.0,Nana Kwon,27.0,Female,Korean,Hotel,400 USD,Plane,400 USD,3
81,"New York, USA",8/20/2024,8/27/2024,7.0,Tom Hanks,60.0,Male,American,Hotel,1500 USD,Plane,1000 USD,5
82,"Phuket, Thai",1/1/2025,1/8/2025,7.0,Emma Watson,32.0,Female,British,Resort,700 USD,Plane,800 USD,4
84,Paris,6/15/2021,6/20/2021,6.0,John Smith,35.0,Male,American,Hotel,800 USD,Plane,500 USD,4
85,Tokyo,7/1/2021,7/10/2021,10.0,Sarah Lee,28.0,Female,Korean,Airbnb,500 USD,Train,300 USD,4
86,Bali,8/10/2021,8/20/2021,11.0,Maria Garcia,42.0,Female,Spanish,Resort,1200 USD,Plane,700 USD,5
87,Sydney,9/1/2021,9/10/2021,9.0,David Lee,45.0,Male,Australian,Hotel,900 USD,Plane,600 USD,4
88,New York,10/15/2021,10/20/2021,6.0,Emily Davis,31.0,Female,American,Airbnb,700 USD,Car rental,200 USD,4
89,London,11/20/2021,11/30/2021,11.0,James Wilson,29.0,Male,British,Hostel,300 USD,Plane,400 USD,2
90,Dubai,1/1/2022,1/8/2022,8.0,Fatima Ahmed,24.0,Female,Emirati,Hotel,1000 USD,Plane,800 USD,3
91,Bangkok,2/14/2022,2/20/2022,7.0,Liam Nguyen,26.0,Male,Vietnamese,Airbnb,400 USD,Train,100 USD,5
92,Rome,3/10/2022,3/20/2022,11.0,Giulia Rossi,30.0,Female,Italian,Hostel,200 USD,Plane,350 USD,4
93,Bali,4/15/2022,4/25/2022,11.0,Putra Wijaya,33.0,Male,Indonesian,Villa,1500 USD,Car rental,300 USD,4
94,Seoul,5/1/2022,5/10/2022,10.0,Kim Min-ji,27.0,Female,Korean,Hotel,800 USD,Train,150 USD,5
95,Paris,6/15/2022,6/20/2022,5.0,John Smith,35.0,Male,USA,Hotel,$500 ,Plane,$800 ,1
96,Tokyo,9/1/2022,9/10/2022,9.0,Emily Johnson,28.0,Female,Canada,Airbnb,$400 ,Train,$200 ,5
97,Sydney,11/23/2022,12/2/2022,9.0,David Lee,45.0,Male,South Korea,Hostel,$200 ,Plane,"$1,200 ",5
98,London,2/14/2023,2/19/2023,5.0,Sarah Brown,37.0,Female,UK,Hotel,$600 ,Plane,$700 ,4
99,New York,5/8/2023,5/14/2023,6.0,Michael Wong,50.0,Male,China,Airbnb,$800 ,Car rental,$300 ,2
100,Rome,8/20/2023,8/27/2023,7.0,Jessica Chen,31.0,Female,Taiwan,Hotel,$700 ,Plane,$900 ,2
101,Bangkok,11/12/2023,11/20/2023,8.0,Ken Tanaka,42.0,Male,Japan,Hostel,$300 ,Train,$100 ,5
102,Cape Town,1/6/2024,1/14/2024,8.0,Maria Garcia,27.0,Female,Spain,Airbnb,$500 ,Plane,"$1,500 ",5
103,Rio de Janeiro,4/3/2024,4/10/2024,7.0,Rodrigo Oliveira,33.0,Male,Brazil,Hotel,$900 ,Car rental,$400 ,5
104,Bali,7/22/2024,7/28/2024,6.0,Olivia Kim,29.0,Female,South Korea,Villa,"$1,200 ",Plane,"$1,000 ",4
105,Amsterdam,10/10/2024,10/17/2024,7.0,Robert Mueller,41.0,Male,Germany,Hotel,$600 ,Train,$150 ,3
106,Paris,5/15/2022,5/20/2022,5.0,John Smith,35.0,Male,USA,Hotel,1000,Plane,800,4
107,Tokyo,9/1/2022,9/10/2022,9.0,Sarah Lee,28.0,Female,South Korea,Airbnb,800,Train,500,4
108,New York,6/20/2022,6/25/2022,5.0,Michael Wong,42.0,Male,Hong Kong,Hotel,1200,Car rental,200,5
109,Bali,8/12/2022,8/20/2022,8.0,Lisa Chen,30.0,Female,Taiwan,Resort,1500,Plane,1200,4
110,Sydney,7/1/2022,7/10/2022,9.0,David Kim,26.0,Male,Canada,Hostel,300,Plane,900,5
111,London,6/10/2022,6/15/2022,5.0,Emily Wong,38.0,Female,United Kingdom,Hotel,900,Train,150,5
112,Phuket,9/5/2022,9/12/2022,7.0,Mark Tan,45.0,Male,Singapore,Villa,2000,Plane,700,4
113,Rome,5/1/2022,5/8/2022,7.0,Emma Lee,31.0,Female,Italy,Hotel,1100,Train,250,4
114,Santorini,7/15/2022,7/22/2022,7.0,George Chen,27.0,Male,Greece,Airbnb,1000,Ferry,150,5
115,Dubai,8/25/2022,8/30/2022,5.0,Sophia Kim,29.0,Female,United Arab Emirates,Hotel,1500,Car rental,300,5
116,Phnom Penh,9/10/2022,9/15/2022,5.0,Alex Ng,33.0,Male,Cambodia,Hostel,200,Plane,500,3
117,"Tokyo, Japan",2/5/2022,2/14/2022,9.0,Alice Smith,32.0,Female,American,Hotel,1000,Plane,700,5
118,"Paris, France",3/15/2022,3/22/2022,7.0,Bob Johnson,47.0,Male,Canadian,Hotel,1200,Train,500,4
119,"Sydney, Aus",5/1/2022,5/12/2022,11.0,Cindy Chen,26.0,Female,Chinese,Airbnb,800,Plane,1000,1
120,"Rome, Italy",6/10/2022,6/17/2022,7.0,David Lee,38.0,Male,Korean,Hotel,900,Train,400,3
121,"Bali, Indonesia",7/20/2022,7/30/2022,10.0,Emily Kim,29.0,Female,Korean,Hostel,500,Plane,800,4
122,"Cancun, Mexico",8/8/2022,8/16/2022,8.0,Frank Li,41.0,Male,American,Hotel,1300,Plane,600,5
123,"Athens, Greece",9/20/2022,9/30/2022,10.0,Gina Lee,35.0,Female,Korean,Airbnb,700,Plane,900,5
124,"Tokyo, Japan",10/5/2022,10/13/2022,8.0,Henry Kim,24.0,Male,Korean,Hotel,1200,Plane,700,5
125,"Sydney, Aus",11/11/2022,11/21/2022,10.0,Isabella Chen,30.0,Female,Chinese,Airbnb,900,Plane,1000,1
126,"Paris, France",12/24/2022,1/1/2023,8.0,Jack Smith,28.0,Male,American,Hostel,400,Plane,700,4
127,"Bali, Indonesia",2/10/2023,2/18/2023,8.0,Katie Johnson,33.0,Female,Canadian,Hotel,800,Plane,800,5
129,"Paris, France",5/1/2023,5/7/2023,6.0,John Doe,35.0,Male,American,Hotel,5000,Airplane,2500,5
130,"Tokyo, Japan",5/15/2023,5/22/2023,7.0,Jane Smith,28.0,Female,British,Airbnb,7000,Train,1500,4
131,"Cape Town, South Africa",6/1/2023,6/10/2023,9.0,Michael Johnson,45.0,Male,South African,Hostel,3000,Car,2000,4
132,"Sydney, Australia",6/15/2023,6/21/2023,6.0,Sarah Lee,31.0,Female,Australian,Hotel,6000,Airplane,3000,5
133,"Rome, Italy",7/1/2023,7/8/2023,7.0,David Kim,42.0,Male,Korean,Airbnb,4000,Train,1500,3
134,"New York City, USA",7/15/2023,7/22/2023,7.0,Emily Davis,27.0,Female,American,Hotel,8000,Airplane,2500,5
135,"Rio de Janeiro, Brazil",8/1/2023,8/10/2023,9.0,Jose Perez,37.0,Male,Brazilian,Hostel,2500,Car,2000,4
136,"Vancouver, Canada",8/15/2023,8/21/2023,6.0,Emma Wilson,29.0,Female,Canadian,Hotel,5000,Airplane,3000,5
137,"Bangkok, Thailand",9/1/2023,9/8/2023,7.0,Ryan Chen,34.0,Male,Chinese,Hostel,2000,Train,1000,3
138,"Barcelona, Spain",9/15/2023,9/22/2023,7.0,Sofia Rodriguez,25.0,Female,Spanish,Airbnb,6000,Airplane,2500,4
139,"Auckland, New Zealand",10/1/2023,10/8/2023,7.0,William Brown,39.0,Male,New Zealander,Hotel,7000,Train,2500,4
137,"Phuket, Thailand",07/26/2023,08/01/2023,6.0,Jose Gonzalez,29.0,Male,Cambodia,Resort,943,Bus,580,4
138,Mexico,06/18/2024,06/24/2024,6.0,Dr. Jeffery Cox,44.0,Other,Italian,Riad,2711,Car rental,1169,3
139,Hawaii,02/20/2025,03/08/2025,16.0,Julie Clark,38.0,Other,Japanese,Hotel,1625,Car rental,437,2
140,Phnom Penh,07/12/2024,07/15/2024,3.0,Ashley Hall,40.0,Male,Canadian,Hotel,2112,Car,940,3
141,Dubai,08/07/2024,08/18/2024,11.0,Darren Beck,26.0,Female,South African,Guesthouse,431,Car,363,3
142,Rio de Janeiro,06/20/2024,07/09/2024,19.0,Shannon Cook,47.0,Other,Japan,Resort,1563,Car rental,628,2
143,"Amsterdam, Netherlands",10/24/2024,11/05/2024,12.0,Christine Lawrence,46.0,Male,Indonesian,Riad,2302,Flight,691,5
144,"Phuket, Thailand",04/08/2024,04/15/2024,7.0,Omar Phillips,38.0,Female,Spain,Vacation rental,2239,Plane,671,4
145,New York,04/10/2025,04/30/2025,20.0,Brian Harrison,70.0,Female,Moroccan,Guesthouse,1252,Subway,1329,3
146,"Cancun, Mexico",08/13/2024,08/22/2024,9.0,Dwayne Rice,21.0,Other,French,Guesthouse,1016,Flight,401,5
147,London,10/22/2024,11/11/2024,20.0,Kathleen Harris,35.0,Male,United Kingdom,Villa,2123,Plane,1310,5
148,Phnom Penh,01/07/2024,01/10/2024,3.0,Mike Young,63.0,Other,Korean,Hotel,2532,Airplane,728,5
149,"Edinburgh, Scotland",02/20/2024,02/24/2024,4.0,Clinton Brown,51.0,Female,Mexican,Airbnb,646,Flight,621,5
150,Spain,02/25/2025,03/04/2025,7.0,Walter Hopkins,26.0,Female,Scottish,Hostel,1511,Car rental,370,5
151,Egypt,01/31/2024,02/04/2024,4.0,Susan Ellis,38.0,Female,Brazil,Hotel,2702,Ferry,1345,3
152,"Phuket, Thailand",05/11/2023,05/14/2023,3.0,Christian Chen,24.0,Male,Indonesian,Vacation rental,1779,Ferry,863,2
153,"Seoul, South Korea",07/10/2023,07/20/2023,10.0,Donna Berry,65.0,Male,Italian,Riad,2583,Airplane,1211,5
154,"Barcelona, Spain",05/02/2023,05/16/2023,14.0,Sheila Gray,47.0,Other,Moroccan,Resort,2421,Ferry,1422,4
155,"Bangkok, Thailand",06/16/2024,06/25/2024,9.0,Melissa Robertson,42.0,Male,Scottish,Vacation rental,2378,Subway,289,2
156,Bangkok,04/17/2024,05/02/2024,15.0,Christine Arias,69.0,Male,Taiwanese,Guesthouse,1487,Subway,327,5
157,Rio de Janeiro,07/25/2024,08/14/2024,20.0,Jonathan Martin,28.0,Female,Cambodia,Riad,1775,Car rental,861,5
158,"Sydney, AUS",04/11/2025,04/21/2025,10.0,Kristopher Stevens,21.0,Female,South Korean,Hostel,684,Bus,1285,5
159,"New York City, USA",05/30/2023,06/14/2023,15.0,Carol Garner,69.0,Male,New Zealander,Hotel,1194,Ferry,852,5
160,"Sydney, Aus",04/17/2025,05/08/2025,21.0,Jay Cannon,33.0,Other,South Korea,Hostel,1491,Subway,925,2
161,Rome,12/29/2024,01/18/2025,20.0,Benjamin Walker,34.0,Male,French,Resort,516,Car rental,810,3
162,Cape Town,02/01/2024,02/07/2024,6.0,Tyler Russell,52.0,Female,South Korea,Villa,1833,Flight,116,5
163,"Cancun, Mexico",11/13/2023,11/18/2023,5.0,Veronica Cook,35.0,Male,Chinese,Airbnb,1959,Train,1057,4
164,Bangkok,09/18/2023,09/24/2023,6.0,Charlotte Joyce,53.0,Female,Italian,Hotel,1596,Airplane,895,5
165,Australia,03/01/2024,03/22/2024,21.0,Christopher Fisher,21.0,Female,Vietnamese,Airbnb,2485,Train,553,4
166,Egypt,06/10/2024,06/13/2024,3.0,Anthony Ward,60.0,Other,New Zealander,Resort,2983,Subway,1109,4
167,"Cancun, Mexico",12/06/2024,12/23/2024,17.0,Alexander Combs,25.0,Other,Italian,Vacation rental,2663,Car,738,2
168,"Honolulu, Hawaii",03/25/2025,04/11/2025,17.0,David Morgan,35.0,Female,South Korean,Vacation rental,1732,Ferry,923,3
169,"Phuket, Thai",07/12/2024,07/20/2024,8.0,Patricia Lewis,41.0,Female,Korean,Guesthouse,1904,Plane,344,5
170,Cape Town,09/25/2023,10/12/2023,17.0,Michele Dominguez,63.0,Other,China,Riad,775,Airplane,896,1
171,Tokyo,08/28/2024,08/31/2024,3.0,Melissa Jefferson,43.0,Male,United Kingdom,Hotel,1339,Car,263,4
172,Japan,04/03/2024,04/07/2024,4.0,Patrick Smith,49.0,Other,Greece,Hostel,2141,Plane,1400,5
173,"Vancouver, Canada",06/17/2024,06/24/2024,7.0,David White,69.0,Male,USA,Airbnb,2794,Flight,1455,4
174,Paris,10/14/2024,10/24/2024,10.0,Ashley Hogan,59.0,Female,Scottish,Riad,1080,Train,122,3
175,"Vancouver, Canada",05/08/2023,05/29/2023,21.0,Hector Salazar,49.0,Male,South Korea,Vacation rental,2732,Ferry,758,5
176,"Los Angeles, USA",06/18/2023,06/26/2023,8.0,Jennifer Glover,31.0,Male,United Arab Emirates,Villa,1649,Bus,488,4
177,Phuket,08/22/2024,08/31/2024,9.0,Sean Pearson,36.0,Female,Indonesian,Hotel,2174,Subway,541,5
178,Tokyo,04/30/2024,05/18/2024,18.0,Matthew Martin,63.0,Male,American,Guesthouse,1890,Car,1460,2
179,Rome,09/01/2024,09/19/2024,18.0,Barry Duran,35.0,Female,British,Villa,1917,Ferry,771,5
180,France,05/07/2023,05/19/2023,12.0,Tara Kelly,24.0,Male,UK,Vacation rental,2380,Flight,1015,4
181,"New York City, USA",10/13/2023,10/27/2023,14.0,James Thornton,30.0,Other,New Zealander,Airbnb,1904,Flight,664,3
182,"Sydney, Australia",04/21/2025,05/12/2025,21.0,David Smith,21.0,Male,Italian,Guesthouse,990,Plane,1441,3
183,"Tokyo, Japan",01/22/2024,01/31/2024,9.0,Kerri Small,36.0,Female,Greece,Airbnb,1724,Train,1232,3
184,"Sydney, AUS",05/05/2024,05/12/2024,7.0,Patrick Anthony,31.0,Male,Cambodia,Villa,1251,Car rental,1427,5
185,"Sydney, Aus",07/09/2024,07/17/2024,8.0,Mark Pineda,55.0,Female,Spain,Hostel,1455,Car rental,1054,3
186,Bali,07/20/2024,07/26/2024,6.0,Leslie Kim,34.0,Female,French,Hotel,2216,Bus,534,5
187,New York,12/28/2024,01/02/2025,5.0,Brittany Jones,22.0,Female,South Korean,Riad,1880,Plane,1090,4
188,Paris,12/08/2024,12/20/2024,12.0,Darren Bradford,54.0,Male,UK,Hostel,1307,Flight,1279,1
189,"Sydney, Australia",06/16/2023,06/20/2023,4.0,Michael Flores,51.0,Female,British,Hostel,1217,Airplane,534,3
190,Spain,08/14/2023,08/24/2023,10.0,Corey Richardson,18.0,Other,German,Hostel,1503,Bus,415,3
191,Canada,05/14/2023,05/20/2023,6.0,Tanya Martinez,58.0,Male,Taiwan,Hotel,704,Plane,1067,5
192,"Los Angeles, USA",03/02/2024,03/22/2024,20.0,David Lucas,52.0,Female,American,Hostel,2875,Train,801,3
193,Phuket,06/24/2024,07/05/2024,11.0,Christina Salazar,21.0,Other,Scottish,Hostel,2430,Train,689,2
194,"Marrakech, Morocco",11/25/2024,12/02/2024,7.0,Ryan Richards,37.0,Male,Japanese,Hotel,697,Car rental,1344,3
195,France,06/17/2024,06/20/2024,3.0,Cody Lewis,21.0,Female,Korean,Vacation rental,789,Train,805,3
196,"New York, USA",11/05/2023,11/19/2023,14.0,Carlos Williams,65.0,Female,UK,Guesthouse,2640,Car rental,1366,5
197,Dubai,07/12/2024,07/30/2024,18.0,Thomas Hogan,36.0,Other,Japan,Riad,2123,Plane,746,5
198,"New York City, USA",08/30/2023,09/14/2023,15.0,Tiffany Mcdowell,55.0,Male,Dutch,Hostel,1057,Train,1229,4
199,Japan,02/15/2024,02/19/2024,4.0,Bonnie Johnson,52.0,Male,American,Vacation rental,1290,Plane,1137,5
200,Japan,02/20/2024,03/02/2024,11.0,Anna Tanner,25.0,Other,Germany,Resort,2212,Airplane,324,3
201,"Cancun, Mexico",04/13/2024,04/24/2024,11.0,Mr. Joseph Fox,61.0,Male,Japan,Airbnb,307,Car,341,3
202,Brazil,02/19/2024,02/25/2024,6.0,Sarah Pope,40.0,Female,German,Hostel,888,Car rental,455,4
203,Bali,09/02/2023,09/13/2023,11.0,Kathleen Miller,45.0,Other,Cambodia,Guesthouse,2605,Car,1264,4
204,Rome,05/31/2024,06/13/2024,13.0,Franklin Hayes,33.0,Male,Taiwan,Guesthouse,2923,Airplane,133,4
205,"Rome, Italy",02/12/2024,02/22/2024,10.0,Wendy Hammond,69.0,Other,Chinese,Villa,2515,Subway,922,3
206,"Paris, France",11/22/2023,11/29/2023,7.0,Cameron Murray,67.0,Male,Emirati,Airbnb,1814,Airplane,528,5
207,London,01/19/2025,02/07/2025,19.0,Marcus Hughes,40.0,Female,French,Airbnb,1951,Car rental,959,4
208,"Tokyo, Japan",10/07/2023,10/18/2023,11.0,Charles Lucas,42.0,Other,French,Hotel,1749,Subway,1455,4
209,Seoul,01/10/2024,01/14/2024,4.0,Matthew Gordon,26.0,Male,South Korean,Resort,1461,Car rental,937,5
210,Australia,05/03/2023,05/20/2023,17.0,Paul White,36.0,Other,Singapore,Airbnb,1012,Plane,316,4
211,"Auckland, New Zealand",10/01/2024,10/12/2024,11.0,Amy Jones,66.0,Male,Hong Kong,Vacation rental,623,Car,1466,3
212,Bali,03/26/2025,04/09/2025,14.0,Gina Castaneda,31.0,Male,Scottish,Villa,1719,Flight,323,3
213,"Tokyo, Japan",06/17/2023,06/24/2023,7.0,Michael Parker,54.0,Male,New Zealander,Vacation rental,2086,Subway,1308,5
214,"Amsterdam, Netherlands",07/19/2024,07/31/2024,12.0,Roger Wolfe,50.0,Other,United Kingdom,Riad,2320,Plane,1209,1
